date_id,full_date,year,month,quarter,day_of_week,is_weekend,is_month_end,week_number
20231228,12/28/2023,2023,December,Q4,Thursday,FALSE,FALSE,
20231229,12/29/2023,2023,December,Q4,Friday,FALSE,FALSE,
20231230,12/30/2023,2023,December,Q4,Saturday,TRUE,FALSE,
20231231,12/31/2023,2023,December,Q4,Sunday,TRUE,TRUE,
20240101,01/01/2024,2024,January,Q1,Monday,FALSE,FALSE,
20240102,01/02/2024,2024,January,Q1,Tuesday,FALSE,FALSE,
20240103,01/03/2024,2024,January,Q1,Wednesday,FALSE,FALSE,
20240104,01/04/2024,2024,January,Q1,Thursday,FALSE,FALSE,
20240105,01/05/2024,2024,January,Q1,Friday,FALSE,FALSE,
20240106,01/06/2024,2024,January,Q1,Saturday,TRUE,FALSE,
20240107,01/07/2024,2024,January,Q1,Sunday,TRUE,FALSE,
20240108,01/08/2024,2024,January,Q1,Monday,FALSE,FALSE,
20240109,01/09/2024,2024,January,Q1,Tuesday,FALSE,FALSE,
20240110,01/10/2024,2024,January,Q1,Wednesday,FALSE,FALSE,
20240111,01/11/2024,2024,January,Q1,Thursday,FALSE,FALSE,
20240112,01/12/2024,2024,January,Q1,Friday,FALSE,FALSE,
20240113,1/13/2024,2024,January,Q1,Saturday,TRUE,FALSE,
20240114,1/14/2024,2024,January,Q1,Sunday,TRUE,FALSE,
20240115,1/15/2024,2024,January,Q1,Monday,FALSE,FALSE,
20240116,1/16/2024,2024,January,Q1,Tuesday,FALSE,FALSE,
20240117,1/17/2024,2024,January,Q1,Wednesday,FALSE,FALSE,
20240118,1/18/2024,2024,January,Q1,Thursday,FALSE,FALSE,
